Unnamed: 0,Source_ID,Target_ID,Source_Mol,Target_Mol,Source_Mol_pCMC,Target_Mol_pCMC,Delta_pCMC,Source_Mol_Area_min,Target_Mol_Area_min,Delta_Area_min,Source_Mol_AW_ST_CMC,Target_Mol_AW_ST_CMC,Delta_AW_ST_CMC
1,compound_286,compound_289,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.61996975203217,4.95900230757651,"(0.3, 0.5]",0.52261483669281,0.534303069114685,no_change,31.382303237915,31.944152832031303,no_change
2,compound_290,compound_289,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.04599883231843,4.95900230757651,"(0.9, 1.1]",0.5207923650741579,0.534303069114685,no_change,29.7787933349609,31.944152832031303,low->high
5,compound_291,compound_290,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.85387196432176,4.04599883231843,"(1.1, 1.3]",0.476337611675262,0.5207923650741579,no_change,28.1504020690918,29.7787933349609,no_change
6,compound_288,compound_291,CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCOCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.00899555966925,2.85387196432176,"(0.7, 0.9]",0.43644881248474093,0.476337611675262,no_change,26.9231300354004,28.1504020690918,no_change
7,compound_409,compound_390,CCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.08092190762393,2.24412514432751,"(1.1, 1.3]",0.66,0.39,high->low,32.2,31.8,no_change
8,compound_395,compound_410,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.74472749489669,2.0,"(0.1, 0.3]",0.428054809570313,0.451528549194336,no_change,28.6,30.0,no_change
9,compound_412,compound_395,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.23657200643706,1.74472749489669,"(0.5, 0.7]",0.4986629486083979,0.428054809570313,no_change,33.2,28.6,high->low
10,compound_419,compound_395,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.920818753952375,1.74472749489669,"(0.7, 0.9]",0.524360358715057,0.428054809570313,no_change,30.0,28.6,no_change
11,compound_395,compound_396,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.74472749489669,2.17392519729917,"(0.3, 0.5]",0.428054809570313,0.49,no_change,28.6,29.520940780639602,no_change
12,compound_395,compound_391,CCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.74472749489669,2.35654732351381,"(0.5, 0.7]",0.428054809570313,0.417261451482773,no_change,28.6,25.4,no_change
